346,91,413,91,413,124,346,124
446,212,492,212,492,234,446,234
492,273,568,273,568,310,492,310
203,319,273,319,273,352,203,352
1389,370,1459,370,1459,404,1389,404
495,389,568,389,568,422,495,422
155,395,200,395,200,416,155,416
1070,410,1143,410,1143,443,1070,443
1706,408,1780,412,1778,451,1703,446
170,489,243,489,243,522,170,522
495,489,574,489,574,526,495,526
732,519,811,519,811,565,732,565
170,595,243,595,243,626,170,626
495,595,571,595,571,629,495,629
1374,659,1480,659,1480,702,1374,702
170,696,243,696,243,729,170,729
495,696,568,696,568,729,495,729
1191,723,1249,723,1249,747,1191,747
1724,723,1790,723,1790,751,1724,751
1575,790,1651,790,1651,824,1575,824
1769,790,1836,790,1836,824,1769,824
170,796,243,796,243,830,170,830
495,796,571,796,571,830,495,830
1137,811,1210,811,1210,845,1137,845
170,903,243,903,243,936,170,936
495,903,568,903,568,936,495,936
1593,933,1666,933,1666,966,1593,966
495,1006,571,1006,571,1042,495,1042
170,1009,243,1009,243,1039,170,1039
1593,1033,1669,1033,1669,1067,1593,1067
1234,1061,1307,1061,1307,1094,1234,1094
495,1103,565,1103,565,1137,495,1137
170,1115,243,1115,243,1149,170,1149
1596,1134,1669,1134,1669,1167,1596,1167
1596,1234,1672,1234,1672,1270,1596,1270
519,1246,577,1246,577,1280,519,1280
176,1283,234,1283,234,1316,176,1316
644,1283,717,1283,717,1316,644,1316
757,1283,830,1283,830,1316,757,1316
854,1283,927,1283,927,1316,854,1316
1003,1283,1073,1283,1073,1316,1003,1316
504,1343,583,1343,583,1380,504,1380
